ID,Kanton,Ort,Unternehmen
CHE-105.728.428,GL - Glarus,Glarus Nord,Bäckerei - Konditorei Märchy GmbH
CHE-107.695.188,GR - Graubünden,Scuol,Bäckerei - Konditorei Not Clalüna
CHE-112.494.017,SO - Solothurn,Kappel (SO),Bäckerei - Konditorei Unternährer & Co
CHE-105.751.657,BE - Bern,Ostermundigen,Bäckerei-Konditorei Ch. + I. Muralt
CHE-112.128.512,ZH - Zürich,Uster,Bäckerei-Konditorei Daniel Brunner
CHE-105.591.342,BE - Bern,Ostermundigen,Bäckerei-Konditorei Dänzer GmbH
CHE-106.967.585,ZH - Zürich,Illnau-Effretikon,Bäckerei-Konditorei Doris Nüssli
CHE-359.547.656,SG - St. Gallen,Wil (SG),Bäckerei-Konditorei Eberle AG
CHE-107.988.549,BE - Bern,Reutigen,"Bäckerei-Konditorei Eggen, T. Manetsch-Lutz"
CHE-400.182.498,LU - Luzern,Hasle (LU),Bäckerei-Konditorei Emmenegger GmbH
CHE-114.402.718,BE - Bern,Rohrbach,Bäckerei-Konditorei Esther Reinbold-Friedli
CHE-107.972.666,SG - St. Gallen,Ebnat-Kappel,Bäckerei-Konditorei Forrer
CHE-109.472.587,AG - Aargau,Obersiggenthal,Bäckerei-Konditorei Frei AG
CHE-105.986.692,BE - Bern,Erlenbach im Simmental,Bäckerei-Konditorei Bieri Alfred
CHE-112.752.219,ZH - Zürich,Hinwil,Bäckerei-Konditorei Bolliger
CHE-388.691.628,SO - Solothurn,Dulliken,Bäckerei-Konditorei Borer GmbH
CHE-110.352.599,ZH - Zürich,Winterthur,Bäckerei-Konditorei Börner
CHE-107.192.119,BE - Bern,Interlaken,Bäckerei-Konditorei Bruno und Beatrice Reinle
CHE-266.271.430,VS - Brig (Oberwallis),Saas-Fee,Bäckerei-Konditorei Bumann AG
CHE-355.236.938,TG - Thurgau,Kreuzlingen,Bäckerei-Konditorei Bürgin GmbH
CHE-115.969.749,AG - Aargau,Muri (AG),Bäckerei-Konditorei Bütler
CHE-109.502.610,VS - Brig (Oberwallis),Leukerbad,Bäckerei-Konditorei Café La Bohème GmbH
CHE-310.996.906,SG - St. Gallen,Wildhaus-Alt St. Johann,Bäckerei-Konditorei Café Schweizer & Co.
CHE-112.806.720,BE - Bern,Thun,Bäckerei-Café Willy Egli AG
CHE-106.317.341,BE - Bern,Roggwil (BE),Bäckerei-Café Zulauf AG
CHE-432.152.024,ZH - Zürich,Niederglatt,Bäckerei-Conditorei Fleischli AG
CHE-107.288.423,SG - St. Gallen,Nesslau,Bäckerei-Conditorei Hinder
CHE-107.526.769,GR - Graubünden,Andeer,Bäckerei-Conditorei Köfler
CHE-105.778.797,AG - Aargau,Möriken-Wildegg,Bäckerei-Conditorei W. Moosberger
CHE-161.261.085,LU - Luzern,Hochdorf,Bäckerei-Confiserie Koch AG
CHE-289.307.116,AG - Aargau,Veltheim (AG),Bäckerei-Confiserie Richner AG
CHE-427.352.818,GR - Graubünden,Arosa,Bäckerei-Confiserie Widmer
CHE-110.497.915,BE - Bern,Kirchberg (BE),Bäckerei-Confiserie Woodtli & Weber
CHE-143.726.755,VS - Brig (Oberwallis),Grächen,"Bäckerei/Konditorei Muri's Produkte, Williner Moritz"
CHE-110.602.224,AG - Aargau,Niederwil (AG),Bäckereiservice Hunkeler
CHE-107.208.476,BE - Bern,Lenk,Bäckerei-Confiserie-Café Kuhnen GmbH
CHE-423.821.599,ZH - Zürich,Richterswil,Bäckerei-Konditorei & Café Pascal Dobler
CHE-113.466.242,SZ - Schwyz,Küssnacht (SZ),Bäckerei-Konditorei & Café Vogel GmbH
CHE-332.997.417,VS - Brig (Oberwallis),Stalden (VS),Bäckerei-Konditorei A. Zuber AG
CHE-107.229.857,BE - Bern,Unterlangenegg,Bäckerei-Konditorei Aebersold-Baumann
CHE-286.022.924,BE - Bern,Köniz,Bäckerei-Konditorei Aegerter AG
CHE-105.776.284,AG - Aargau,Endingen,Bäckerei-Konditorei Alt
CHE-105.408.656,BE - Bern,Konolfingen,Bäckerei-Konditorei B. Kindler + B. Hiltbrunner
CHE-106.057.387,SG - St. Gallen,St. Gallen,"Bäckerei-Konditorei Beck Beck, Inh. H. Gmür"
CHE-105.741.067,NW - Nidwalden,Buochs,Bäckerei-Konditorei Bergamin
CHE-107.083.298,AG - Aargau,Aarau,Bäckerei zur Kettenbrücke M. Leutwiler
CHE-107.180.240,BE - Bern,Dotzigen,"Bäckerei, Konditorei Fahrni"
CHE-189.036.773,ZH - Zürich,Adliswil,"Bäckerei, Konditorei Winter, Ilic Milovan"
CHE-106.833.950,SH - Schaffhausen,Stein am Rhein,"Bäckerei, Konditorei, Café ""Zum Steinenen Trauben"" Walz"
CHE-110.597.445,BS - Basel-Stadt,Basel,"Bäckerei, Konditorei, Confiserie Mock"
CHE-105.384.814,BE - Bern,Sigriswil,"Bäckerei, Konditorei, Lebensmittel E. Fahrni"
CHE-106.986.387,VS - Brig (Oberwallis),Saas-Fee,"Bäckerei, Tea-Room und Garni Imseng"
CHE-115.764.041,ZH - Zürich,Bonstetten,Bäckerei-Café Betschart
CHE-214.578.660,AG - Aargau,Hunzenschwil,Bäckerei-Café Kohler AG
CHE-112.409.371,LU - Luzern,Hitzkirch,Bäckerei-Café Meyer AG
CHE-108.035.907,AG - Aargau,Bözberg,Bäckerei-Konditorei Hirt
CHE-107.166.984,ZH - Zürich,Seuzach,Bäckerei-Konditorei Hollenstein
CHE-107.178.421,BE - Bern,Biel/Bienne,Bäckerei-Konditorei Holliger
CHE-107.137.089,AG - Aargau,Oberwil-Lieli,Bäckerei-Konditorei Huber
CHE-107.232.428,BE - Bern,Sumiswald,Bäckerei-Konditorei Huber
CHE-109.289.787,VS - Brig (Oberwallis),Kippel,Bäckerei-Konditorei Hugo Ebener
CHE-319.177.518,SO - Solothurn,Lüterkofen-Ichertswil,Bäckerei-Konditorei Ingold
CHE-105.152.534,BE - Bern,Gals,Bäckerei-Konditorei Jenni
CHE-105.802.510,LU - Luzern,Luzern,Bäckerei-Konditorei Josef Kreyenbühl
CHE-470.719.009,SG - St. Gallen,Kirchberg (SG),Bäckerei-Konditorei Jung (Beck Jung)
CHE-112.831.847,FR - Fribourg,Fribourg,Bäckerei-Konditorei Waeber GmbH
CHE-110.572.735,BE - Bern,Oberdiessbach,Bäckerei-Konditorei Wegmüller
CHE-114.265.166,BE - Bern,Krattigen,Bäckerei-Konditorei Widmer
CHE-105.747.733,ZH - Zürich,Langnau am Albis,Bäckerei-Konditorei Widmer AG
CHE-268.364.717,AG - Aargau,Niederwil (AG),Bäckerei-Konditorei Wirth
CHE-109.966.346,BE - Bern,Lenk,"Bäckerei-Konditorei zum Brotegge, M. Godderidge"
CHE-108.555.489,BE - Bern,Steffisburg,"Bäckerei-Konditorei, Tea-Room Spatz, Amstutz"
CHE-112.646.103,ZH - Zürich,Bauma,"Bäckerei-Konditorei, Theodor Rathgeb"
CHE-141.952.134,TG - Thurgau,Sirnach,Bäckerei-Konditorei-Café Botti GmbH
CHE-109.455.086,BE - Bern,Thun,"Bäckerei-Konditorei-Café Brötie, Nachfolger Ulrich Käser"
CHE-108.094.442,LU - Luzern,Sursee,Bäckerei-Konditorei Stocker AG
CHE-107.109.839,AG - Aargau,Seengen,Bäckerei-Konditorei Studler AG
CHE-109.802.466,AG - Aargau,Unterlunkhofen,Bäckerei-Konditorei Stutz GmbH
CHE-113.030.672,BE - Bern,Stettlen,Bäckerei-Konditorei Thomas Gautschi
CHE-109.484.142,LU - Luzern,Weggis,Bäckerei-Konditorei Tschumi AG
CHE-107.201.014,BE - Bern,Kandergrund,Bäckerei-Konditorei U. Schnidrig
CHE-285.280.174,ZH - Zürich,Horgen,Bäckerei-Konditorei Vetterli
CHE-402.020.872,BE - Bern,Lauterbrunnen,Bäckerei-Konditorei Vincenz AG
CHE-396.408.680,ZH - Zürich,Küsnacht (ZH),Bäckerei-Konditorei von Burg AG
CHE-114.926.039,AG - Aargau,Brittnau,Bäckerei-Konditorei Waber AG
CHE-107.291.997,SG - St. Gallen,Diepoldsau,Bäckerei-Konditorei Fuchs
CHE-112.297.818,TG - Thurgau,Egnach,Bäckerei-Konditorei Funk GmbH
CHE-109.602.890,LU - Luzern,Malters,Bäckerei-Konditorei Gasser
CHE-107.072.679,AG - Aargau,Suhr,"Bäckerei-Konditorei Gasser, Nachfolger N. Lio"
CHE-384.599.165,AR - Appenzell A. Rh.,Urnäsch,Bäckerei-Konditorei Gerig GmbH
CHE-358.805.637,BE - Bern,Seedorf (BE),Bäckerei-Konditorei Gutjahr GmbH
CHE-217.477.469,AG - Aargau,Zetzwil,Bäckerei-Konditorei Gysi AG
CHE-235.581.633,BE - Bern,Trubschachen,Bäckerei-Konditorei Habegger
CHE-481.662.744,AG - Aargau,Seengen,Bäckerei-Konditorei Hächler AG
CHE-278.066.115,AG - Aargau,Lenzburg,Bäckerei-Konditorei Haller AG
CHE-232.936.792,FR - Fribourg,Rechthalten,Bäckerei Tea-Room Burg AG
CHE-368.973.791,LU - Luzern,Hergiswil bei Willisau,Bäckerei Thalmann GmbH
CHE-109.386.025,ZH - Zürich,Winterthur,Bäckerei Tokay GmbH
CHE-105.795.123,BE - Bern,Orpund,Bäckerei und Restaurant Linde AG
CHE-175.263.937,SG - St. Gallen,Oberuzwil,Bäckerei Wagner AG
CHE-107.193.142,BE - Bern,Grindelwald,Bäckerei Wüthrich AG
CHE-107.283.549,SG - St. Gallen,Nesslau,Bäckerei Ziehler Konditorei
CHE-302.621.640,LU - Luzern,Schüpfheim,Bäckerei Zihlmann AG
CHE-104.748.701,FR - Fribourg,Plaffeien,Bäckerei Zosso
CHE-107.529.779,SG - St. Gallen,Au (SG),"Bäckerei zum Engel, Keller"
CHE-234.076.108,BE - Bern,Mühleberg,Bäckerei Kaffee Spontan GmbH
CHE-229.442.348,TG - Thurgau,Berlingen,Bäckerei Kafi Berlinge Nüesch
CHE-106.848.555,AR - Appenzell A. Rh.,Reute (AR),Bäckerei Kast AG
CHE-108.640.735,SZ - Schwyz,Tuggen,Bäckerei Knobel GmbH
CHE-107.068.399,AR - Appenzell A. Rh.,Teufen (AR),Bäckerei Koller GmbH
CHE-145.311.649,GR - Graubünden,Tujetsch,Bäckerei Konditorei Adula GmbH
CHE-107.469.657,AG - Aargau,Sins,Bäckerei Konditorei Albert Fähndrich
CHE-391.154.650,SG - St. Gallen,Rheineck,Bäckerei Konditorei Bachmann GmbH
CHE-265.591.932,BE - Bern,Wichtrach,Bäckerei Konditorei Bruderer AG
CHE-109.384.807,ZH - Zürich,Zürich,BÄCKEREI KONDITOREI CAFÉ HAUSAMMANN
CHE-209.788.536,LU - Luzern,Luzern,Bäckerei-Konditorei-Café Moos Fabienne GmbH
CHE-110.641.098,AG - Aargau,Villnachern,Bäckerei-Konditorei-Café Mor GmbH
CHE-108.076.272,GR - Graubünden,Zizers,Bäckerei-Konditorei-Café P. Signer
CHE-165.612.999,BE - Bern,Grindelwald,Bäckerei-Konditorei-Café Ringgenberg GmbH
CHE-357.846.160,AG - Aargau,Reinach (AG),Bäckerei-Konditorei-Café Schulz & Co.
CHE-231.254.678,GR - Graubünden,Davos,Bäckerei-Konditorei-Café Weber AG
CHE-114.518.114,LU - Luzern,Ruswil,Bäckerei-Konditorei-Confiserie Erni
CHE-479.879.777,AG - Aargau,Klingnau,Bäckerei-Konditorei-Confiserie Gfeller AG
CHE-107.732.458,BS - Basel-Stadt,Basel,Bäckerei-Konditorei-Confiserie Krebs
CHE-114.582.253,AR - Appenzell A. Rh.,Herisau,"Bäckerei-Konditorei-Confiserie Schläpfer, Inhaber Emil Knöpfel"
CHE-108.763.757,BE - Bern,Köniz,"Bäckerei-Konditorei Karl Wüthrich, Café Cat"
CHE-110.574.898,SZ - Schwyz,Reichenburg,"Bäckerei-Konditorei Kistler, Inhaber Bruno Schirmer"
CHE-252.198.241,SG - St. Gallen,Benken (SG),"Bäckerei-Konditorei Kistler, Inhaber Bruno Schirmer"
CHE-101.363.291,BE - Bern,Bätterkinden,"Bäckerei-Konditorei Knuchel, Inhaber H. Bichsel"
CHE-107.109.880,AG - Aargau,Waltenschwil,Bäckerei-Konditorei Köchli
CHE-237.658.100,BE - Bern,Bolligen,Bäckerei-Konditorei Krenger
CHE-106.805.586,AG - Aargau,Muri (AG),Bäckerei-Konditorei Kreyenbühl
CHE-357.408.647,AG - Aargau,Schinznach,Bäckerei-Konditorei Lehmann AG
CHE-107.182.262,BE - Bern,Hindelbank,Bäckerei-Konditorei Markus Bartlome
CHE-106.933.439,SO - Solothurn,Obergösgen,Bäckerei-Konditorei Markus Zimmermann
CHE-106.505.983,LU - Luzern,Luzern,Bäckerei-Konditorei Merz AG
CHE-453.139.911,BE - Bern,Brügg,Bäckerei-Konditorei Meyer KlG
CHE-109.834.874,SO - Solothurn,Selzach,Bäckerei-Konditorei Mischler
CHE-107.076.387,TG - Thurgau,Basadingen-Schlattingen,Bäckerei-Konditorei Möckli
CHE-459.143.377,ZH - Zürich,Wetzikon (ZH),Bäckerei-Konditorei Montanari GmbH
CHE-105.913.902,BL - Basel-Landschaft,Laufen,Bäckerei-Konditorei Niederberger-Giger
CHE-107.270.860,SG - St. Gallen,Uzwil,Bäckerei-Konditorei Niffeler AG
CHE-115.604.526,TG - Thurgau,Matzingen,Bäckerei-Konditorei Nyffenegger
CHE-107.255.352,SG - St. Gallen,Kirchberg (SG),Bäckerei-Konditorei Oswald AG
CHE-106.153.789,BE - Bern,Thun,Bäckerei-Konditorei P. Hirsbrunner
CHE-430.717.145,FR - Fribourg,Muntelier,Bäckerei Hauser GmbH
CHE-316.685.066,ZH - Zürich,Wetzikon (ZH),Bäckerei Haydar Aydin
CHE-105.458.565,UR - Uri,Attinghausen,Bäckerei Herger GmbH
CHE-107.377.245,ZG - Zug,Baar,Bäckerei Hotz Rust AG
CHE-309.283.840,AG - Aargau,Villmergen,Bäckerei im Zentrum Villmergen AG
CHE-101.901.892,VS - Brig (Oberwallis),Brig-Glis,Bäckerei Imboden AG
CHE-200.646.901,ZH - Zürich,Zürich,Bäckerei Imholz AG
CHE-113.326.285,BE - Bern,Linden,Bäckerei Jassbach GmbH
CHE-112.381.608,BS - Basel-Stadt,Basel,Bäckerei Jetzer GmbH
CHE-112.450.563,VS - Brig (Oberwallis),Visp,Bäckerei Josef Schwarz Visp AG
CHE-100.362.082,ZG - Zug,Cham,Bäckerei-Konditorei-Confiserie von Rotz GmbH
CHE-257.993.292,ZG - Zug,Steinhausen,Bäckerei-Konditorei-Confiserie von Rotz GmbH
CHE-157.338.603,BE - Bern,Adelboden,Bäckerei-Konditorei-Confiserie-Café Haueter
CHE-356.575.515,AG - Aargau,Suhr,Bäckerei-Konditorei-Confiserie-Tea Room M. + A. Leiser
CHE-105.888.724,BE - Bern,Seedorf (BE),Bäckerei-Konditorei-Lebensmittel Hugo Gutjahr
CHE-105.806.583,SG - St. Gallen,Mosnang,Bäckerei-Konditorei-Restaurant Brändle z. Rössli
CHE-107.777.260,GR - Graubünden,Seewis im Prättigau,"Bäckerei-Lebensmittel, M. Fausch"
CHE-105.862.630,BE - Bern,Bremgarten bei Bern,Bäckerei-Restaurant 'Chutze' AG
CHE-105.804.561,SG - St. Gallen,Mörschwil,Bäckerei-Restaurant Füger GmbH
CHE-393.342.760,VS - Brig (Oberwallis),Simplon,Bäckerei-Tea-Room Arnold
